periodo,banco_original,banco_normalizado,indicador,valor,unidad,archivo_origen,hoja_origen,fila_origen_excel,columna_origen_excel
2026-03,BP AUSTRO,BP AUSTRO,morosidad_total,0.0338548016,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,8
2026-03,BP BOLIVARIANO,BP BOLIVARIANO,morosidad_total,0.0162409447,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,9
2026-03,BP CITIBANK,BP CITIBANK,morosidad_total,2.9e-09,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,10
2026-03,BP DINERS,BP DINERS,morosidad_total,0.0551787172,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,11
2026-03,BP GENERAL RUMIÑAHUI,BP GENERAL RUMINAHUI,morosidad_total,0.0330394811,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,12
2026-03,BP INTERNACIONAL,BP INTERNACIONAL,morosidad_total,0.0165809983,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,13
2026-03,BP LOJA,BP LOJA,morosidad_total,0.035274026,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,14
2026-03,BP MACHALA,BP MACHALA,morosidad_total,0.0251186413,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,15
2026-03,BP SOLIDARIO,BP SOLIDARIO,morosidad_total,0.0503878261,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,16
2026-03,BP PROCREDIT,BP PROCREDIT,morosidad_total,0.0300129363,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,18
